[2026-04-01T18:47:43.096Z] GET http://localhost:4000/ → pending (?ms, ?B)
[2026-04-01T18:57:07.489Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-01T18:57:07.490Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459WlhyyTh89Y.woff2 → 200 (?ms, ?B)
[2026-04-01T18:57:07.494Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFRD-vYSZviVYUb_rj3ij__anPXDTnCjmHKM4nYO7KN_k-UXtHA-X-uE0qEEw.woff2 → 200 (?ms, ?B)
[2026-04-01T18:57:07.556Z] GET http://localhost:8080/search_songs → 200 (263ms, 54261B)
[2026-04-01T18:57:07.556Z] GET http://localhost:8080/search_songs → 200 (243ms, 54261B)
[2026-04-01T18:58:07.158Z] GET http://localhost:4000/albums → 200 (6ms, 670B)
[2026-04-01T18:58:07.167Z] GET http://localhost:4000/static/js/bundle.js → 304 (22ms, ?B)
[2026-04-01T18:58:07.204Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;600;700;900&family=Inter:wght@400;500;600&family=Playfair+Display:ital,wght@0,700;1,700&display=swap → 200 (?ms, 18678B)
[2026-04-01T18:58:07.209Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-01T18:58:07.209Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459WlhyyTh89Y.woff2 → 200 (1ms, ?B)
[2026-04-01T18:58:07.213Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFRD-vYSZviVYUb_rj3ij__anPXDTnCjmHKM4nYO7KN_k-UXtHA-X-uE0qEEw.woff2 → 200 (?ms, ?B)
[2026-04-01T18:58:07.214Z] GET http://localhost:8080/albums → pending (?ms, ?B)
[2026-04-01T18:58:07.214Z] GET http://localhost:8080/albums → pending (?ms, ?B)
[2026-04-01T18:58:07.342Z] GET https://i.scdn.co/image/ab67616d00001e02e0b60c608586d88252b8fbc0 → 200 (1ms, 23301B)
[2026-04-01T18:58:07.342Z] GET https://i.scdn.co/image/ab67616d00001e02318443aab3531a0558e79a4d → 200 (1ms, 29521B)
[2026-04-01T18:58:07.342Z] GET https://i.scdn.co/image/ab67616d00001e02a48964b5d9a3d6968ae3e0de → 200 (2ms, 30037B)
[2026-04-01T18:58:07.342Z] GET https://i.scdn.co/image/ab67616d00001e0290fd9741e1838115cd90b3b6 → 200 (3ms, 27956B)
[2026-04-01T18:58:07.342Z] GET https://i.scdn.co/image/ab67616d00001e02c288028c2592f400dd0b9233 → 200 (3ms, 32488B)
[2026-04-01T18:58:07.342Z] GET https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647 → 200 (7ms, 21811B)
[2026-04-01T18:58:07.342Z] GET https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b → 200 (7ms, 30981B)
[2026-04-01T18:58:07.342Z] GET https://i.scdn.co/image/ab67616d00001e02332d85510aba3eb28312cfb2 → 200 (7ms, 22961B)
[2026-04-01T18:58:07.342Z] GET https://i.scdn.co/image/ab67616d00001e02a7613d346501b828b56a0bc3 → 200 (8ms, 22606B)
[2026-04-01T18:58:07.342Z] GET https://i.scdn.co/image/ab67616d00001e022e4ec3175d848eca7b76b07f → 200 (8ms, 46240B)
[2026-04-01T18:58:07.342Z] GET https://i.scdn.co/image/ab67616d00001e0234e5885465afc8a497ac1b7e → 200 (8ms, 46684B)
[2026-04-01T18:58:07.342Z] GET https://i.scdn.co/image/ab67616d00001e022f8c0fd72a80a93f8c53b96c → 200 (8ms, 49619B)
[2026-04-01T18:58:19.988Z] GET http://localhost:8080/album/3lS1y25WAhcqJDATJK70Mq → 200 (130ms, 182B)
[2026-04-01T18:58:19.988Z] GET http://localhost:8080/album_songs/3lS1y25WAhcqJDATJK70Mq → 200 (136ms, 2123B)
[2026-04-01T18:58:19.989Z] GET http://localhost:8080/album/3lS1y25WAhcqJDATJK70Mq → 200 (117ms, 182B)
[2026-04-01T18:58:19.989Z] GET http://localhost:8080/album_songs/3lS1y25WAhcqJDATJK70Mq → 200 (123ms, 2123B)
[2026-04-01T19:00:04.374Z] GET http://localhost:4000/ → pending (?ms, ?B)
[2026-04-01T19:00:04.392Z] GET http://localhost:4000/static/js/bundle.js → 304 (6ms, ?B)
[2026-04-01T19:00:04.434Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;600;700;900&family=Inter:wght@400;500;600&family=Playfair+Display:ital,wght@0,700;1,700&display=swap → 200 (?ms, 18678B)
[2026-04-01T19:00:04.435Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-01T19:00:04.435Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459WlhyyTh89Y.woff2 → 200 (?ms, ?B)
[2026-04-01T19:00:04.446Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFRD-vYSZviVYUb_rj3ij__anPXDTnCjmHKM4nYO7KN_k-UXtHA-X-uE0qEEw.woff2 → 200 (1ms, ?B)
[2026-04-01T19:00:04.468Z] GET http://localhost:8080/top_songs?page=1&page_size=10 → 200 (242ms, 1451B)
[2026-04-01T19:00:04.468Z] GET http://localhost:8080/top_albums?page=1&page_size=5 → 200 (242ms, 422B)
